Game	GameID	Players	Rounds	Turns	Ticks	P0_Score	P0_Ordinal	P0_Type	P1_Score	P1_Ordinal	P1_Type	P2_Score	P2_Ordinal	P2_Type	P3_Score	P3_Ordinal	P3_Type	P4_Score	P4_Ordinal	P4_Type	P5_Score	P5_Ordinal	P5_Type	P6_Score	P6_Ordinal	P6_Type	P7_Score	P7_Ordinal	P7_Type	P8_Score	P8_Ordinal	P8_Type
SushiGo	42	2	2	55	58	45.0	2	BasicMCTS	54.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	43	2	2	55	60	47.0	2	BasicMCTS	58.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	44	2	2	55	58	58.0	1	BasicMCTS	56.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	45	2	2	55	60	50.0	2	BasicMCTS	55.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	46	2	2	55	62	46.0	2	BasicMCTS	70.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	47	2	2	55	58	41.0	2	BasicMCTS	60.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	48	2	2	55	58	46.0	2	BasicMCTS	57.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	49	2	2	55	60	46.0	2	BasicMCTS	68.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	50	2	2	55	60	46.0	1	BasicMCTS	40.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	51	2	2	55	58	39.0	2	BasicMCTS	63.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	52	2	2	55	62	45.0	2	BasicMCTS	49.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	53	2	2	55	64	38.0	2	BasicMCTS	48.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	54	2	2	55	58	37.0	2	BasicMCTS	46.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	55	2	2	55	60	41.0	2	BasicMCTS	53.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	56	2	2	55	58	50.0	1	BasicMCTS	40.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	57	2	2	55	64	41.0	2	BasicMCTS	44.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	58	2	2	55	58	46.0	2	BasicMCTS	58.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	59	2	2	55	60	55.0	1	BasicMCTS	43.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	60	2	2	55	58	43.0	1	BasicMCTS	40.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	61	2	2	55	60	43.0	2	BasicMCTS	54.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	62	2	2	55	62	58.0	1	BasicMCTS	54.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	63	2	2	55	58	37.0	2	BasicMCTS	55.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
